8601|Emperador / Prestidigitador|prima mondiale di “El Público” a Madrid
2025|Due contadini|Onore e morte nella "Cavalleria rusticana" e nei "Pagliacci" di nuovo insieme
6176|Junius|"The Rape of Lucretia"
2463|Lord Arturo Bucklaw|"Lucia di Lammermoor"
9775|Farzana e La corifea|"La donna serpente" di Alfredo Casella
6801|Bottom / Pyramus|"The Fairy Queen"
6912|Lady Macbeth|«Pien di misfatti è calle della potenza». “Macbeth” di Verdi
2848|Naiade|"Ariadne auf Naxos"
8263|Principe|"Rusalka"
9416|Ein Mann|"Götterdämmerung"
6974|Il detenuto grande|"Da una casa di morti"
4865|Lucia|"Lucia di Lammermoor"
7183|Giovanna, di lei nutrice|"Ernani"
9045|Il barone di Trombonok|"Il viaggio a Reims"
733|Mario Cavaradossi|"Tosca" ultimo titolo
2918|Zaccaria|-
6641|Gutrune|un "Ring" che avrebbe reso Wagner orgoglioso
382|Lord Ruthven|"Der Vampyr"
8960|Messaggero|“Aida”
3237|Eine Modistin|"Der Rosenkavalier"
9800|Ramiro|"L’heure espagnole" '-- "L’enfant et les sortilèges"
5077|Giulietta|"Un giorno di regno"
3523|Un invitado ubriaco|"Lady Macbeth del distretto di Mzesnk"
4398|Il cavaliere Renato Des Grieux|“Manon Lescaut” per l’Orchestra Sinfonica Siciliana
564|Corinna|"Il Viaggio a Reims"
2049|Clistene|Roberto De Simone interpreta Pergolesi
9669|Lauretta|"Il Trittico" di Giacomo Puccini
3615|Don Alvaro|"Il viaggio a Reims"
2030|Silvio|Onore e morte nella "Cavalleria rusticana" e nei "Pagliacci" di nuovo insieme
3608|La Marchesa Melibea|"Il viaggio a Reims"
2644|Sciarrone, Un carceriere|"Tosca"
6373|Flora Bervoix|"Gala Verdi"
7516|Betto di Signa|"Eine Florentinische Tragödie" e "Gianni Schicchi" (cast alternativi)
8242|Giulietta|“Les Contes d’Hoffmann”
8605|Traje de bailarina y Sombra|prima mondiale di “El Público” a Madrid
2500|Ferrando|"Orfeo ed Euridice", "Il Trovatore", "Rigoletto"
8144|Ruggero Lastouc|"La rondine"
9452|The Indian boy|"The Fairy Queen"
7842|Il barone Mirko Zeta|"La vedova allegra"
6391|Dottor Grenvil|"Gala Verdi"
6588|Radamès, capitano delle guardie|ancora “Aida” a Verona
9536|Basilio|"Il barbiere di Siviglia"
5111|Lucia|«Di ragion la trasse amore …». "Lucia di Lammermoor"
7791|Clotilde, ancella di Norma|"Norma"
9461|Merlin|"Les Chevaliers de la Table Ronde" di Hervé
3430|Radamès|"Aida"
7157|Capellio|"I Capuleti e i Montecchi"
1625|Moralèse|"Carmen"
4582|Tytania, Regina delle Fate|"A Midsummer night's dream"
7391|Foto|"L'italiana in Algeri"
6851|L’ermafrodito|Il suono del silenzio
215|Primi ballerini|"Aida"
3830|Sesto|"La clemenza di Tito"
6292|La maga|"Dido and Aeneas"
9789|Josè Castro|"La fanciulla del West"
7740|Tölzer Knaben Chor (JACOB GOPFERT|"Die Zauberflöte" (Il Flauto Magico)
3548|Marullo|un grande successo
3489|Guccio|"Il campanello" e "Gianni Schicchi"
8041|Kaufmann|"Jakob Lenz"
9055|La marchesa Melibea|"Il viaggio a Reims"
3946|Un medico|"Ognenny Angel" (L'angelo di fuoco)
3157|Yon güell|"El Trust de los tenorios", "El Puñao de rosas"
3525|Katerina Ismailova|"Lady Macbeth del distretto di Mzesnk"
1823|Osiride / Una voce misteriosa|"Moise et Pharaon"
5461|Ping|Zubin Mehta festeggia i cinquant’anni
5010|L’Olandese|"Der fliegende Holländer"
1903|Gerhilde|"Die Walküre"
4207|Masaniello|"La muette de Portici"
2796|La Contessa di Ceprano, Maddalena|"Rigoletto"
3915|Lionia|"La Cerisaie" (Il giardino dei ciliegi)
1118|Mercutio|"Roméo et Juliette"
9671|Luigi|"Il Trittico" di Giacomo Puccini
8323|Pirzel|“Die Soldaten” al Teatro alla Scala
2708|Il Cardinale Brogni|"La Juive"
2207|Sua figlia|"Il Naso"
7797|Norma, druidessa, sua figlia|"Norma"
4067|Yakusidè|"Madama Butterfly"
6570|Ribbing|"Un ballo in maschera"
6227|Liríope|"Viento (es la dicha de Amor)"
9876|Mohammed|"Der Rosenkavalier"
4459|Il capitano|"Wozzeck"
4558|Hotelier|"Manon"
539|Jacopo Foscari|-
8105|Dormont|"La scala di seta"
2389|La contessa di Ceprano|"Rigoletto"
