JAVID SAMADOV;Melot
ROSWITHA CHRISTINA MLLER;Brangne
MARTIN PLATZ;Un pastore / voce di un giovane marinaio
ROMANO FRANCI;Un timoniere
PAOLO PECCHIOLI;Sig. Geronimo
PAOLA CIGNA;Elisetta
PATRIZIA CIGNA;Carolina
MONICA MINARELLI;Fidalma
MICHELE PIERLEONI;Conte Robinson
GIAMPAOLO FRANCONI;Paolino
IL CONVITATO DI PIETRA;
VLADIMIR REUTOV;Don Giovanni
NATALIZIA CARONE;Donna Anna
PIOTR WOLOSZ;Il Commendatore
JAVIER LANDETE;Il Marchese Dorasquez
ELISABETTA FARRIS;La Duchessa Isabella
GELSOMINA TROIANO;Lesbina
DANIELE PISCOPO;Pulcinella
MARCO INNAMORATI;Bastiano
VALENTINA IANNONE;Chiarella
CINZIA FORTE;Violetta Valry
GIUSEPPINA BRIDELLI;Flora Bervoix
MICHELA ANTENUCCI;Annina
STEFAN POP;Alfredo Germont
GIOVANNI MEONI;Giorgio Germont
ENRICO COSSUTTA;Gastone
FERNANDO PIQUERAS;Il barone Douphol
FRANCESCO MUSINU;Il dottor Grenvil
ITALO PROFERISCE;Il marchese dObigny
MARIO TODISCO;Giuseppe
ANTONIO DE LISIO;Un domestico
GIUSEPPE SCARICO;Un commissionario
SOFIA SOLOVIY;Alcina
MARA JOS MORENO;Morgana
JOS MARIA LO MONACO;Ruggiero
ANGLIQUE NOLDUS;Bradamante
JOHANNES WEISSER;Melisso
ANTHONY GREGORY;Oronte
FRANCESCA LOMBARDI MAZZULLI;Oberto
THOMAS JOHANNES MAYER;Moses
HALL;Aron JOHN GRAHAM-
JULIE DAVIES;Una fanciulla
ROGERS;Donna malata CATHERINE WYN-
NICKY SPENCE;Un giovane
MICHAEL PFLUMM;Il giovane nudo
CHAE WOOK LIM;Un uomo
CHRISTOPHER PURVES;Un altro uomo, Ephraim
RALF LUKAS;Un sacerdote
ANDREA MASTRONI;Sarastro
PAOLO FANALE;Tamino
CORNELIA GOETZ;Regina della notte
LAURA GIORDANO;Pamina
ANNETTE JAHNS;Le tre dame ANNA SCHOECK, CHRISTINE KNORREN,
MARKUS WERBA;Papageno
LAURA CATRANI;Papagena
ALEXANDER KRAWETZ;Monostato
RICCARDO ROMEO;Tre Geni EMANUELA CIMINNA, FEDERICA QUATTROCCHI,
ROBERTO ABBONDANZA;Oratore/Primo sacerdote
CRISTIANO OLIVIERI;Secondo sacerdote/Primo armigero
VICTOR GARCIA SIERRA;Secondo armigero
MANUEL PIERATTELLI;Dormont
BIANCA TOGNOCCHI;Giulia
LAURA VERRECCHIA;Lucilla
FRANCISCO BRITO;Dorvil
LEONARDO GALEAZZI;Blansac
FILIPPO FONTANA;Germano
NICHOLAS ANTHONY;Figurante
ALESSANDRO LUONGO;Don Giovanni
ABRAMO ROSALEN;Il Commendatore
GILDA FIUME;Donna Anna
BLAGOJ NACOSKI;Don Ottavio
ELISABETTA FARRIS;Donna Elvira
ROBERTO ACCURSO;Leporello
DANIELE CAPUTO;Masetto
VITTORIA LAI;Zerlina
VINCENZO NIZZARDO;Il conte dAlmaviva
FEDERICA LOMBARDI;La contessa Rosina
ANDREA PORTA;Figaro
LUCREZIA DREI;Susanna
CECILIA BERNINI;Cherubino
FRANCESCO MILANESE;Bartolo
MARIGONA QERKEZI;Marcellina
UGO TARQUINI;Don Basilio
CARLO CHECCHI;Antonio
MATTEO MACCHIONI;Don Curzio
GIULIA BOLCATO;Barbarina
ELENA CACCAMO;Due contadine ANNA PIROLI,
GORAN JURI;Sarastro
ANTONIO POLI;Tamino
MICHAEL LEIBUNDGUT;Oratore
WILLIAM CORR;Primo sacerdote/secondo armigero
FEDERICO LEPRE;Primo armigero/secondo sacerdote
EKATERINA SADOVNIKOVA;Pamina
ALEX ESPOSITO;Papageno
CATERINA DI TONNO;Papagena
OLGA PUDOVA;Regina della notte
CRISTINA BAGGIO;Prima dama
ROSA BOVE;Seconda dama
SILVIA REGAZZO;Terza dama
MARCELLO NARDIS;Monostatos
SOLISTI DEL MNCHNER KNABENCHOR;Tre Geni
DANIELA FO;Una vecchia
SANDRINE PIAU;Mlisande
CHLO BRIOT;Yniold
KARAN ARMSTRONG;Genevive
GUILLAUME ANDRIEUX;Pellas
MAURO BORGIONI;Il dottore / Il pastore
PAUL GAY;Golaud
ROBERT LLOYD;Arkl
RAI;Orchestra Sinfonica Nazionale della
ELENA MONTI;Fiordiligi
PAOLA GARDINA;Dorabella
FRANCESCO SALVADORI;Guglielmo
ALESSANDRO SCOTTO DI LUZIO;Ferrando
GIUSEPPINA BRIDELLI;Despina
BRUNO TADDIA;Don Alfonso
KIRIL MANOLOV;Sir John Falstaff
FEDERICO LONGHI;Ford
GIOVANNI SEBASTIANO SALA;Fenton
GIORGIO TRUCCO;Dottor Cajus
MATTEO FALCIER;Bardolfo
GRAZIANO DALLAVALLE;Pistola
ELEONORA BURATTO;Mrs. Alice Ford
DAMIANA MIZZI;Nannetta
ISABEL DE PAOLI;Mrs. Quickly
ANNA MALAVASI;Mrs. Meg Page
GRAZIANO SCHIAVONE;Oebalus
ELINA SHIMKUS;Melia
VILIJA MIKTAIT;Hyacinthus
ALESSANDRO GIANGRANDE;Apollo
VALERIA GIRARDELLO;Zephyrus
SUNG SIM;Il Re IN-
ANITA RACHVELISHVILI;Amneris
KRISTIN LEWIS;Aida
MARCO BERTI;Radams
GIACOMO PRESTIA;Ramfis
DOSS;Amonasro MARK S.
DARIO PROLA;Messaggero
KATE FRUCHTERMAN;Sacerdotessa
SAIOA HERNANDEZ;Norma
ANNALISA STROPPA;Adalgisa
LUCIANO GANCI;Pollione
CRISTIAN SAITTA;Oroveso
ANTONELLO CERON;Flavio
ALESSIA NADIN;Clotilde
NICOLA ALAIMO;Sir John Falstaff
MASSIMO CAVALLETTI;Ford
FRANCESCO DEMURO;Fenton
CARLO BOSI;Dott. Cajus
PATRIZIO SAUDELLI;Bardolfo
GIOVANNI BATTISTA PARODI;Pistola
EVA MEI;Mrs. Alice Ford
IRINA LUNGU;Nannetta
NICOLE LEMIEUX;Mrs. Quickly MARIE-
LAURA POLVERELLI;Mrs. Meg Page
GRAZIA DORONZIO;Mim
JENISH YSMANOV;Rodolfo
LAVINIA BINI;Musetta
FRANCESCO VULTAGGIO;Marcello
ITALO PROFERISCE;Schaunard
DARIO RUSSO;Colline
MARCO CAMASTRA;Benot/Alcindoro
ALESSANDRO PUCCI;Parpignol
ROBERTO GATTEI;Sergente dei doganieri
GIANNI PACI;Un doganiere
PAOLO BORDOGNA;Don Pasquale
PABLO RUIZ;Dottor Malatesta
PIETRO ADAINI;Ernesto
MARIA MUDRYAK;Norina
CLAUDIO GRASSO;Un notaro
CARMELA REMIGIO;Fiordiligi
ANNA GORYACHOVA;Dorabella
SIMONE ALBERGHINI;Guglielmo
JUAN FRANCISCO GATELL;Ferrando
GIULIA SEMENZATO;Despina
OMAR MONTANARI;Don Alfonso
YANN BEURON;Licinius
JULIEN DRAN;Cinna
JEAN TEITGEN;Le Souverain Pontife
ALEXANDRA DESHORTIES;Julia
GRUPPOSO;La Grande Vestale SYLVIE BRUNET-
CARLOS ALMAGUER;Nabucco
LEONARDO GRAMEGNA;Ismaele
RAMAZ CHIKVILADZE;Zaccaria
MARIA BILLERI;Abigaille
ELISA BARBERO;Fenena
PAOLO BATTAGLIA;Il gran sacerdote di Belo
ROBERTO CARLI;Abdallo
ALICE MOLINARI;Anna
ANNA PIROZZI;Aida
ANNA MARIA CHIURI;Amneris
RICCARDO MASSI;Radams
DIMITRI PLATANIAS;Amonasro
GIACOMO PRESTIA;Ramfis
INSUNG SIM;Il re
ROBERTO GUENNO;Un messaggero
KATE FRUCHTERMAN;Una sacerdotessa
ALLISON COOK;Duchess
WRIGHT;Hotel Manager, Duke, Laundryman, Other guest PETER COLEMAN-
LEONARDO CAPALBO;Electrician, Lounge Lizard, Waiter, Priest, Rubbernecker, Delivery boy
KERSTIN AVEMO;Maid, Confidante, Waitress, Mistress, Rubbernecker, Society journalist
GUSTAVO PORTA;Ernani (Don Giovanni dAragona)
