ALBERTO PIASTRELLINI,LA VEDOVA ALLEGRA
TERESA DI BARI,LA VEDOVA ALLEGRA
CAROLINA LIPPO,LA VEDOVA ALLEGRA
MIRIAM ARTIACO,LA VEDOVA ALLEGRA
GENNARO CANAVACCIUOLO,LA VEDOVA ALLEGRA
LUCA SALSI,RIGOLETTO
LISETTE OROPESA,RIGOLETTO
FRANCESCO DEMURO,RIGOLETTO
ANDREA MASTRONI,RIGOLETTO
BARBARA DI CASTRI,RIGOLETTO
MARA JOS SUREZ,RIGOLETTO
FERNANDO RAD,RIGOLETTO
ALEX SANMART,RIGOLETTO
GERARDO LPEZ,RIGOLETTO
TOMEU BIBILONI,RIGOLETTO
NURIA GARCA ARRS,RIGOLETTO
CLAUDIO MALGESINI,RIGOLETTO
MERCEDES ARCURI,RIGOLETTO
LADISLAV ELGR,THE BASSARIDS
RUSSELL BRAUN,THE BASSARIDS
DOSS,THE BASSARIDS
ERIN CAVES,THE BASSARIDS
ANDREW SCHROEDER,THE BASSARIDS
VERONICA SIMEONI,THE BASSARIDS
SARA HERSHKOWITZ,THE BASSARIDS
SARA FULGONI,THE BASSARIDS
CRUZ,RIGOLETTO
AMBROGIO MAESTRI,RIGOLETTO
CHRISTINA POULITSI,RIGOLETTO
GIORGIO GIUSEPPINI,RIGOLETTO
ANNA MALAVASI,RIGOLETTO
CHIARA FRACASSO,RIGOLETTO
KONSTANTIN GORNY,RIGOLETTO
ITALO PROFERISCE,RIGOLETTO
LUCA CASALIN,RIGOLETTO
NICOL CERIANI,RIGOLETTO
SABRINA TESTA,RIGOLETTO
VITO LUCIANO ROBERTI,RIGOLETTO
IRENE FAVRO,RIGOLETTO
MARIA JOS MONTIEL,CARMEN
ELEONORA BURATTO,CARMEN
SANDRA PASTRANA,CARMEN
GIUSEPPINA BRIDELLI,CARMEN
BRIAN JAGDE,CARMEN
KOSTAS SMORIGINAS,CARMEN
FABIO PREVIATI,CARMEN
CARLO BOSI,CARMEN
GIANFRANCO MONTRESOR,CARMEN
ROBERTO ACCURSO,CARMEN
CRISTINA MARTUFI,ZANETTO
ALESSANDRA MASINI,ZANETTO
CAVALLERIA RUSTICANA,ZANETTO
YVONNE MANFREDA,ZANETTO
MARIA SALVINI,ZANETTO
VITALIY KOVALCHUK,ZANETTO
MAMUKA LOMIDZE,ZANETTO
CARLOTTA VICHI,ZANETTO
SERSE,Auditorio Nacional de Msica de Madrid
JOS MARIA LO MONACO,Auditorio Nacional de Msica de Madrid
HANNA HUSHR,Auditorio Nacional de Msica de Madrid
SONIA PRINA,Auditorio Nacional de Msica de Madrid
KERSTIN AVEMO,Auditorio Nacional de Msica de Madrid
IVONNE FUCHS,Auditorio Nacional de Msica de Madrid
CHRISTIAN SENN,Auditorio Nacional de Msica de Madrid
LUIGI DE DONATO,Auditorio Nacional de Msica de Madrid
VICTOR GARCA SIERRA,AIDA
SILVIA BELTRAMI,AIDA
CELLIA COSTEA,AIDA
DARIO DI VIETRI,AIDA
ABRAMO ROSALEN,AIDA
IVAN INVERARDI,AIDA
NESTOR LOSAN,AIDA
SARA ROSSINI,AIDA
MATTHIAS KLINK,Dramma musicale in un atto dal poema di Oscar Wilde nella traduzione di Hedwig Lachmann
CLAUDIA MAHNKE,Dramma musicale in un atto dal poema di Oscar Wilde nella traduzione di Hedwig Lachmann
SIMONE SCHNEIDER,Dramma musicale in un atto dal poema di Oscar Wilde nella traduzione di Hedwig Lachmann
GERGELY NMETI,Dramma musicale in un atto dal poema di Oscar Wilde nella traduzione di Hedwig Lachmann
IDUNNU MNCH,Dramma musicale in un atto dal poema di Oscar Wilde nella traduzione di Hedwig Lachmann
ERIC ANDER,Dramma musicale in un atto dal poema di Oscar Wilde nella traduzione di Hedwig Lachmann
DOMINIC GROBE,Dramma musicale in un atto dal poema di Oscar Wilde nella traduzione di Hedwig Lachmann
GUILLAUME ANTOINE,Dramma musicale in un atto dal poema di Oscar Wilde nella traduzione di Hedwig Lachmann
SIMON STRICKER,Dramma musicale in un atto dal poema di Oscar Wilde nella traduzione di Hedwig Lachmann
ESTHER DIERKES,Dramma musicale in un atto dal poema di Oscar Wilde nella traduzione di Hedwig Lachmann
SERGIO ESCOBAR,UN BALLO IN MASCHERA
DARIA MASIERO,UN BALLO IN MASCHERA
ANGELO VECCIA,UN BALLO IN MASCHERA
ANNA MARIA CHIURI,UN BALLO IN MASCHERA
SHOUSHIK BARSOUMIAN,UN BALLO IN MASCHERA
