MARIANO BUCCINO,Hanez|LAMICO FRITZ
MARTA MARI,Caterina|LAMICO FRITZ
ANDREAS BAUER,Daland|DER FLIEGENDE HOLLNDER
RICARDA MERBETH,Senta|DER FLIEGENDE HOLLNDER
TORSTEN KERL,Erik|DER FLIEGENDE HOLLNDER
PILAR VZQUEZ,Mary|DER FLIEGENDE HOLLNDER
DMITRY IVANCHEY,Der Steuermann Dalands|DER FLIEGENDE HOLLNDER
BRYN TERFEL,Der Hollnder|DER FLIEGENDE HOLLNDER
ANNA NETREBKO,Giovanna|GIOVANNA DARCO
VII FRANCESCO MELI,Carlo|GIOVANNA DARCO
CARLOS LVAREZ,Giacomo|GIOVANNA DARCO
DMITRY BELOSELSKIY,Talbot|GIOVANNA DARCO
MICHELE MAURO,Delil|GIOVANNA DARCO
STEFANO SECCO,Stiffelio|STIFFELIO
JULIANNA DI GIACOMO,Lina|STIFFELIO
DIMITRI PLATANIAS,Stankar|STIFFELIO
FRANCESCO MARSIGLIA,Raffaele|STIFFELIO
SIMON LIM,Jorg|STIFFELIO
CRISTIANO OLIVIERI,Federico di Frengel|STIFFELIO
SOFIA KOBERIDZE,Dorotea|STIFFELIO
CHRISTIAN VOIGT,Siegfried|SIEGFRIED
PETER BRONDER,Mime|SIEGFRIED
THOMAS GAZHELI,Wanderer (Wotan)|SIEGFRIED
SERGEI LEIFERKUS,Alberich|SIEGFRIED
MICHAEL EDER,Fafner|SIEGFRIED
JUDIT KUTASI,Erda|SIEGFRIED
MEAGAN MILLER,Brnnhilde|SIEGFRIED
DEBORAH LEONETTI,Stimme eines Waldvogels|SIEGFRIED
ROCIO IGNACIO,Adina|LELISIR DAMORE
FABRIZIO PAESANO,Nemorino|LELISIR DAMORE
VITTORIO PRATO,Belcore|LELISIR DAMORE
MARCO FILIPPO ROMANO,Il dottor Dulcamara|LELISIR DAMORE
ELENA BORIN,Giannetta|LELISIR DAMORE
FILIPPO MINECCIA,Catone|CATONE
RICCARDO NOVARO,Cesare|CATONE
LUCIA CIRILLO,Marzia|CATONE
KRISTINA HAMMARSTRM,Arbace|CATONE
ROBERTA INVERNIZZI,Emilia|CATONE
CARLO CIGNI,Il Marchese di Calatrava|LA FORZA DEL DESTINO
KYUNG RIM,Donna Leonora SAE-|LA FORZA DEL DESTINO
DALIBOR JENIS,Don Carlo di Vargas|LA FORZA DEL DESTINO
WALTER FRACCARO,Don Alvaro|LA FORZA DEL DESTINO
CHIARA AMAR,Preziosilla|LA FORZA DEL DESTINO
SIMON LIM,Padre Guardiano|LA FORZA DEL DESTINO
GEZIM MYSHKETA,Fra Melitone|LA FORZA DEL DESTINO
MILENA JOSIPOVIC,Curra|LA FORZA DEL DESTINO
FRANCESCO PITTARI,Mastro Trabuco|LA FORZA DEL DESTINO
GIANLUCA LENTINI,Un Alcade / Un chirurgo|LA FORZA DEL DESTINO
VALERIA ESPOSITO,Hanna Glawari|LA VEDOVA ALLEGRA
ARMANDO ARIOSTINI,Il barone Mirko Zeta|LA VEDOVA ALLEGRA
FRANCESCA TASSINARI,Valencienne, sua moglie|LA VEDOVA ALLEGRA
ALESSANDRO SAFINA,Conte Danilo Danilowitsh|LA VEDOVA ALLEGRA
CHRISTIAN COLLIA,Camille de Petruzzel|LA VEDOVA ALLEGRA
ALEX MARTINI,Visconte Cascada|LA VEDOVA ALLEGRA
ENRICO GIOVAGNOLI,Raoul de St. Brioche|LA VEDOVA ALLEGRA
ENZO BOCCANERA,Bogdanowitsch|LA VEDOVA ALLEGRA
ALESSANDRO PUCCI,Kromow|LA VEDOVA ALLEGRA
ALBERTO PIASTRELLINI,Pritschitsch|LA VEDOVA ALLEGRA
TERESA DI BARI,Sylviane|LA VEDOVA ALLEGRA
CAROLINA LIPPO,Olga|LA VEDOVA ALLEGRA
