REFAT LLEHSI;Uno Scudiero di Arrigo|LA BATTAGLIA DI LEGNANO;1
MARCO VRATOGNA;Alfio|CAVALLERIA RUSTICANA;1
RAI;Orchestra Sinfonica Nazionale della|LA TRAVIATA;1
JUAN FRANCISCO GATELL;Polidoro|IL FLAMINIO;1
MARIA PIA PISCITELLI;Donna Elvira|DON GIOVANNI;1
PAOLO BERGO;Un sergente dei doganieri|LA BOHME;1
CIRO PASSILONGO;Parpignol|LA BOHEME;1
CRISTINA TOLEDO;Stimme des Waldvogels|SIEGFRIED;1
MICHELE CAPALBO;Aida, schiava etiope|AIDA;1
KIANDRA HOWARTH;Belinda, dama di compagnia|DIDO AND AENEAS;1
CARMELA REMIGIO;Adalgisa|NORMA;2
ELENA GABOURI;Amneris|AIDA;1
SONIA GANASSI;Carmen|CARMEN;1
VIOLETA URMANA;Santuzza|CAVALLERIA RUSTICANA;1
CLAUDIO MALGESINI;Un usciere di corte|RIGOLETTO;1
JOYCE DI DONATO;Octavian|DER ROSENKAVALIERCommedia musicale in tre atti su libretto di Hugo von Hofmannstahl;1
IVAN CIGNETTI;Danzatori DILETTA CENTONZE,|LA TRAVIATA;1
GREGORY KUNDE;Otello|OPENING GALA;1
GABRIELE NANI;Ascanio Petrucci|LUCREZIA BORGIA;1
ALENA SAUTIER;Clotilde|NORMA;1
GRAZIA PAOLELLA;Tetka|JENUFA;1
MARK MUNKITTRICK;Benoit|LA BOHME;1
COSTANTINO FINUCCI;Roberto|I VESPRI SICILIANI;1
ADRIANO SALERI;Otto studenti FABRIZIO MENOTTA, MAURIZIO SCAVONE, DANIELE MASSIMI, FRANCESCO LUCCIONI, REFAT LLHESI, FRANCESCO GIANNELLI, FRANCESCO BOVINO, FABIO TINALLI, ELENA GALITSKAYA,|NOS (Il Naso);1
SAVERIO FIORE;Lord Arturo Bucklaw|LUCIA DI LAMMERMOOR;1
JOHN MARK AINSLEY;Emilio|Auditorio Nacional de Msica de Madrid;1
MARCO CAMASTRA;Marco|EINE FLORENTINISCHE TRAGDIE;2
PHILIPPE KAHN;Il Re dEgitto|AIDA;1
LUIGI ALBANI;Capitano dei balestrieri|SIMON BOCCANEGRA;1
LANA KOS;Luisa Miller|LUISA MILLER;1
MARCO BERTI;Manrico|IL TROVATORE;1
RICCARDO COLTELLACCI;Il Commissario Imperiale|MADAMA BUTTERFLY;1
ABRAMO ROSALEN;Lusignano|ZAIRA;1
YIJIE SHI;Lord Arturo Talbo|I PURITANI;1
ALEXANDER VASSILIEV;Der Einarmige|DIE FRAU OHNE SCHATTEN;1
DOMAS;Matilde Neruda CRISTINA GALLARDO-|IL POSTINO Opera in tre atti basata sul libro Ardiente Paciencia di Antonio Skarmeta;1
EKATERINA GUBANOVA;La principessa Eboli|DON CARLO;1
DONATO DI GIOIA;Il principe Yamadori|MADAMA BUTTERFLY;1
SEUNG PIL CHOI;Raimondo Bidebant|LUCIA DI LAMMERMOOR;1
ANA QUINTANS;Drusilla|LINCORONAZIONE DI POPPEA;1
FRANCESCO PARRINO;Edmondo|MANON LESCAUT;1
INGELA BRIMBERG;Salome|SALOME;1
ANGELO VILLARI;F.B. Pinkerton|MADAMA BUTTERFLY;1
ALEXANDER TSYMBALYUK;Jacopo Fiesco|SIMON BOCCANEGRA;1
GIUSEPPE PICONE;Primo ballerino|JRUSALEM;1
KERSTIN CHAVEZ;Lucretia|THE RAPE OF LUCRETIA;1
DESIRE RANCATORE;Miss Lucia|LUCIA DI LAMMERMOOR;2
CARLO DI CRISTOFORO;Un sicario|MACBETH;1
JENNIFER POTTS;Narratore|JOSEPH AND THE AMAZING TECHNICOLOR DREAMCOAT;1
UGO GUAGLIARDO;Lord Gualtiero|I PURITANI;1
GABRIELLA COSTA;Musica|IL NOVELLO GIASONE;1
PATRICK SIMPER;Daland|DER FLIEGENDE HOLLNDER;1
OMAR MONTANARI;Dottor Bartolo|IL BARBIERE DI SIVIGLIA;1
CROY;Marco MARCK Mc|A VIEW FROM THE BRIDGE  (Uno sguardo dal ponte);1
LENFANT ET LES SORTILGES;|LHEURE ESPAGNOLE;1
KATE ALDRICH;Sesto|LA CLEMENZA DI TITO (K 621);1
GIANLUCA TERRANOVA;Gabriele Adorno|SIMON BOCCANEGRA;2
STEPHAN STORCK;Sciarrone|TOSCA;1
DONATO DI GIOIA;Kromow|LA VEDOVA ALLEGRA;3
GIUSEPPE CANNIZZO;Guillot|EVGENIJ ONEGIN;1
GIULIA SEMENZATO;Celia|LUCIO SILLA;1
PASQUALE AMATO;Il Marchese DObigny|LA TRAVIATA;1
AUXILIADORA TOLEDANO;Corinna|IL VIAGGIO A REIMS;1
ERIC ANDER;Schlmil|LES CONTES DHOFFMANN;1
MARKUS WERBA;Il Conte Danilo Danilowitch|LA VEDOVA ALLEGRA;3
VERONICA SIMEONI;Adalgisa, druidessa|NORMA;1
DAVID HANSEN;Cherubino|LE NOZZE DI FIGARO;1
ELISABETTA FARRIS;Una donna|VOCI DI DONNA;1
NICCOLO SCACCABAROZZI;Dottor Malatesta|Inaugurazione dellAnno Accademico 2014/2015;1
