2563|Il Tinca|"Il Trittico" di Giacomo Puccini
1165|Kashoggi|"We Will Rock You"
2467|Irene|"Tamerlano"
1259|Inquisidor|"La mulata de Córdoba", "La vida breve"
2188|Un Chevalier|"Robert le diable"
2587|Il marchese d'Obigny|"La Traviata"
1505|Mosè|-
65|Mister Astley|"Il Giocatore" (Igrok')
2468|L'ambasciatore di Milano|"Rienzi"
507|Blum|"Cin-Ci-là"
3309|F.B.Pinkerton|"Madama Butterfly"
2097|Masaniello|"La muette de Portici"
1021|Una vecchia|"Die Zauberflöte"
1633|Elektra|"Elektra"
1798|Un Mandarino|"Turandot"
3393|Sergente dei Doganieri|"La Bohème"
639|Eine Spanierin|"Der ferne klang"
1325|Yannakos|"The Greek Passion"
2010|Il barone</em> <em>Douphol|"La Traviata"
2952|Gilade|“Il Farnace”
2525|Lesbina|"Il filosofo di campagna"
1063|Richard Nixon|"Nixon in China"
1289|Virgilio|"Iolanta" e "Francesca Da Rimini"
2261|Francis Flute, acconciamantici|"A Midsummer night's dream"
433|Onegin|Il Bolshoi
894|Simeona|Lima,"La Leyenda
3772|Il Barone Ochs von Lerchenau|"Der Rosenkavalier"
3548|Secondo Strelez|"Chovanščina"
3069|Kaidamà|-
3013|Lupino|-
3702|Seconda ragazza|"Le nozze di Figaro"
1530|Salustia|-
1371|Le Comte Capulet|"Roméo et Juliette"
3016|Giacomo V alias Uberto di Snowdon|«Come resistere / a tanti affetti!» “La Donna
176|Secondo marinaro,Saturno|"La virtù de' strali d'amore"
4179|Dimitri, groom – un piccolo Savoiardo|"Fedora"
1248|Il guardacaccia|"Rusalka"
1692|Il Cavalier Armidoro|"La Cecchina, ossia la buona figliuola"
2145|Pásek, oste|"La volpe astuta"
386|Intendente del feudo|"Linda di Chamounix"
2835|Errico Settebellizze|“Napoli milionaria”
4041|Ein anderer</em> <em>Mann|"Götterdämmerung"
2697|L'araldo|"Macbeth"
3522|Nicklausse|“Les Contes d’Hoffmann”
2326|Ginardo|"Matilde di Shabran"
3081|Flute / Thisbe|"The Fairy Queen"
264|Un macchinista|"Věc Makropulos"
391|Due nazzareni ' STANILAV SHVETS|-
3288|Il cavaliere Astolfi|-
1115|Their governess|"Death in Venice" (Morte a Venezia)
3353|Polyxène|Trionfano
1928|Comte Mosca della Rovere|"La Chartreuse de Parme"
2523|Don Tritemio|"Il filosofo di campagna"
4159|Josè Castro|"La fanciulla del West"
914|Sharpless|"Madama Butterfly"
2847|Un marinero|"Marina"
2991|Venere|"Orfeo all'inferno"
3503|Maurizio|"Adriana Lecouvreur"
3566|Oratore e Primo sacerdote|"Die Zauberflöte"
2873|Servilia, sorella di Sesto e amante di Annio|"La Clemenza di Tito"
2846|Roque|"Marina"
3010|Cintia|"La cena delle beffe"
1534|Il pastorello|"Tosca"
910|Lo zio bonzo|"Madama Butterfly"
2055|Dritter Priester|"Die Zauberflote"
803|Conte Rodolfo|"La Sonnambula"
3276|Il Barone Mirko Zeta|"La Vedova allegra"
2396|Capellio|"I Capuleti e i Montecchi"
3738|Olga Sukarev|"Fedora"
127|Matteo Borsa|"Rigoletto"
3269|Clarina|"La cambiale di matrimonio"
1611|Máscara 1ª|"El Trust de los tenorios", "El Puñao de rosas"
3657|Il nano rugiadoso|“Hänsel und Gretel”
2780|Un uscire|"Rigoletto"
1955|Lionia|"La Cerisaie" (Il giardino dei ciliegi)
796|Florestan|"Fidelio"
1257|El tío Salvador|"La mulata de Córdoba", "La vida breve"
3436|Due amanti|"Il Trittico" di Giacomo Puccini
2528|Calchas|"Iphigénie en Aulide" di Gluck
906|Kate Pinkerton|"Madama Butterfly"
3821|Hanezò|"L'Amico Fritz"
1680|Ein Groom|"Lulu"
3920|Foto Più Luce|“Pelléas et Mélisande”  dell’OSN RAI
2426|Il Boiardo Kruschov|"Boris Godunov"
3070|Marcella|-
2324|Edoardo|"Matilde di Shabran"
658|Federica, duchessa d'Ostheim|"Luisa Miller"
276|Viclinda|"I Lombardi alla prima crociata"
2485|La sagrestana (Kostelnička)|"Jenůfa"
3489|Il Diavolo|"Švanda dudák"
1719|Serano|«Come resistere / a tanti affetti!» “La Donna
2397|Romeo|"I Capuleti e i Montecchi"
2079|Oberlin|"Jakob Lenz"
415|Ilo|"Zelmira"
3565|Čub|"Čerevički"
523|Cinque giudei GABRIELE MANGIONE|"Salome"
4143|Badur e Il corifeo|"La donna serpente" di Alfredo Casella
2163|Zebulun|-
17|Due filistei|Samson et Dalila
544|Paggio|"Rigoletto"
1958|Quattro fanciulle|"La Cerisaie" (Il giardino dei ciliegi)
2039|Lanceotto Malatesta|"Iolanta" e "Francesca Da Rimini"
243|Il marito|"Von heute auf morgen", "Pagliacci"
4114|Lapo, Un cantore|"La cena delle beffe"
1384|Uno Scudiero di Arrigo|"La battaglia di Legnano"
1225|Hauk-Šendorf|"Věc Makropulos"
321|Corinna|"Il viaggio a Reims"
2179|Il maestro di ballo / il lampionaio|“Manon Lescaut” per l’Orchestra Sinfonica Siciliana
3019|Gustavo III|"Un ballo in maschera"
832|Tezeuco|"Montezuma" a Città
