SERGIO VITALE;UN BALLO IN MASCHERA;1
ANNIE VAVRILLE;AMICA;1
HERNANDEZ;THE FAIRY QUEEN;1
RUDOLF ROSEN;LULU;1
CATERINA DI TONNO;LA CENERENTOLA, ossia La bont in trionfo;1
MARIA RADOEVA;EINE FLORENTINISCHE TRAGDIE;2
KARIN TORBJRNSDTTIR;RIGOLETTO;1
VALERIA TORNATORE;LA TRAVIATA;1
PAOLA GARDINA;JUDITHA TRIUMPHANSdevicta Holofernis barbarie (1716);1
LAURA PUDWELL;DIDO AND AENEAS Opera in tre atti su libretto di Nahum Tate;1
OZGE KALELIOGLU;CAVALLERIA RUSTICANA;1
GIANLUCA LENTINI;LA TRAVIATA;2
ANDREW RICHARDS;CARMEN;1
ALEX MAGRI;IRIS;1
MARIA BILLERI;NORMA;1
STEVEN HUMES;DER FLIEGENDE HOLLNDER;1
ENO;JAKOB LENZ;1
FABIO SARTORI;DON CARLO;1
LEONARDO CORTELLAZZI;VC MAKROPULOS;1
INNA SAVCHENKO;MADAMA BUTTERFLY;1
PERLA VIVIANA CIGOLINI;CARMEN;1
GIORGIO CASCIARRI;MADAMA BUTTERFLY;1
MARK MILHOFER;PERGOLESI IN OLIMPIADE;1
EDGARDO ROCHA;OTELLO OSSIA IL MORO DI VENEZIA;1
CRISTIANO OLIVIERI;DIE ZAUBERFLTE (Il Flauto magico);1
MATTEO MACCHIONI;SUOR ANGELICA;2
ADRIANA DI PAOLA;DIE ZAUBERFLTE;1
MANUELA GIACOMINI;LE NOZZE DI FIGARO;1
CARLO PROVENZANO;IL BARBIERE DI SIVIGLIA;1
LUCA GRASSI;LES PCHEURS DE PERLES;2
FRANCESCA ASCIOTI;JUDITHA TRIUMPHANSdevicta Holofernis barbarie (1716);1
HELENA SCHNEIDERMANN;DIE GLUCKLICKE HAND (La mano felice);1
FILIPPO ADAMI;MARIA STUARDA;1
GIOVANNA DONADINI;DIE LUSTIGE WITWE ( La vedova allegra );2
ALESSANDRA CONTALDO;DON GIOVANNI (vers. Praga, 1787);1
GERARDO MALLA;LA CHULAPONA;1
ELENA BRESCIANI;MADAMA BUTTERFLY;1
GIANLUCA GHELLER;LA BOHME;1
GREGORY KUNDE;OPENING GALA;1
ANTOINE PHILIPPOT;LES CHEVALIERS DE LA TABLE RONDE (I cavalieri della tavola rotonda);1
FEDERICA GRUMIRO;IL TRITTICO;1
ANNUNZIATA VESTRI;FALSTAFF;1
MATTEO LIPPI;LA BOHME;2
ANTONIO CORIANO;MACBETH;1
MARIO MALAGNINI;TURANDOT;1
MATTEO MACCHIONI;LE NOZZE DI FIGARO;4
SAVERIO FIORE;I PURITANI;2
ENRICO COSSUTTA;TANNHUSER;1
LAURA BRIOLI;AIDA;1
FRANCESCO LEONE;LA TRAVIATA;1
DANIEL STEFANOV;LA BOHME;1
WOJTEK SMILEK;TANNHUSER;1
DAVIDE SIEGA;LINCORONAZIONE DI POPPEA;1
ENRICO COSSUTTA;BORIS GODUNOV;1
BOAZ DANIEL;DON CARLO;1
ALICE BORCIANI;CAPPUCCETTO  ROSSO Libretto di Lia e Dario Del Corno;1
INGRID KAISERFELD;DER ROSENKAVALIERCommedia musicale in tre atti su libretto di Hugo von Hofmannstahl;1
GIORGIO TRUCCO;IL TROVATORE;2
ALEANDRO MARIANI;LAMICO FRITZ;1
JULIAN KIM;MADAMA BUTTERFLY;1
ROSSANA RINALDI;Fondazione Arena di Verona  87 Festival 2009;3
CARMEN;Fondazione Arena di Verona  87 Festival 2009;2
ROSALIND PLOWRIGHT;DER FLIEGENDE HOLLNDER;1
INVA MULA;OTELLO;1
NGEL RODRGUEZ;AINADAMAR;1
MIRKO MATARAZZO;IL TRITTICO;1
CAVALLERIA RUSTICANA;EL AMOR BRUJO;2
FABRIZIO PEZZONI;LA METAMORFOSI;1
AYK MARTIROSSIAN;BORIS GODUNOV;1
MARIA WESTBROEK;LADY MACBETH DEL DISTRETTO DI MZENSK;1
MARIANNA PETRECCA;LITALIANA IN ALGERI;1
ELLIE DEHN;LA BOHME;1
SUSAN BICKLEY;PETER GRIMES;1
ANTONIO POLI;DIE ZAUBERFLTE (Il Flauto magico);1
SOPHIE MARILLEY;LES CONTES DHOFFMANN;1
OCTAVIO PEREZ;LA TRAVIATA;1
CHIARA MATTIOLI;CAVALLERIA RUSTICANA;1
DARIO SHIKIMIRI;THE FAIRY QUEEN;1
FABRIZIO BEGGI;IL MATRIMONIO SEGRETO;1
ROMINA CASUCCI;ORFEO ALLINFERNO (Orphe aux Enfers);2
ROBERTA GARELLI;MADAMA BUTTERFLYTragedia giapponese in tre atti su Libretto di Luigi Illica e Giuseppe Giacosa;1
ENRICO BAVA;LA TRAVIATA;2
DARIO RUSSO;LUCIA DI LAMMERMOOR;1
ANNALISA STROPPA;HNSEL UND GRETEL;1
ENRICO COSSUTTA;NORMA;2
SARA JAHANBAKHSH;EINE FLORENTINISCHE TRAGDIE;1
THOMAS HALL;DER FLIEGENDE HOLLNDER;1
ANGELO VECCIA;LAFRICAINE;1
JONAS KAUFMANN;AIDA;1
MARCO SPORTELLI;MADAMA BUTTERFLYTragedia giapponese in tre atti su Libretto di Luigi Illica e Giuseppe Giacosa;1
ALEXANDER KRONER;THE RAPE OF LUCRETIA;1
JULIA ARELLANO;AY, AMOR!;1
JAKE HALPERIN;LA SERENATA AL VENTO;1
ERIN CAVES;ARIADNE AUF NAXOS;1
IVANA RUSKO;JENFA;1
BURCU UYAR;DIE ZAUBERFLTE (Il flauto magico);1
SCOTT WILDE;LULU;1
ELISABETH MULLER;DIE ZAUBERFLTE (Il flauto magico);1
SANDRA PIQUES EDDY;TROUBLE IN TAHITI Opera in Un Atto e sette scene;1
SUSANNA BRANCHINI;IL TROVATORE;1
ALBERTO ANGELERI;LUISA MILLER;1
VANINA GUILLEDO;IL MONDO DELLA LUNA;1
JOSEPH KAISER;CAPRICCIO;1
MATTEO FERRARA;LA VEDOVA ALLEGRA;1
DOSS;EINE FLORENTINISCHE TRAGDIE;1
ALESSANDRO SPINA;Inaugurazione dellAnno Accademico 2014/2015;1
ALESSIA MARTINA;LAMBIZIONE DELUSA;1
NICOL AYROLDI;IL CAPPELLO DI PAGLIA DI FIRENZE;1
ANTONIO MARANI;IL TROVATORE;1
KARINE DESHAYES;LA CENERENTOLA;1
DARIA KOVALENKO;FEDORA;1
NANNI TORMEN;SOGNO DI UNA NOTTE DI MEZZA ESTATE;1
LUCA DALLAMICO;DON GIOVANNI;2
ARTURO LOPEZ CASTILLO;Musica di Jos  Pablo Moncayo;1
HUGAULT;TURANDOT;1
GIANLUCA BURATTO;I PURITANI;1
ERNESTO PANNARIELLO;LA BOHME;1
SEBASTIAN BOLLACHER;LA JUIVE;1
RONAN COLLET;NABUCCO;1
RAFFAELLO CONVERSO;LA SERVA PADRONA;1
PASQUALE AMATO;LA TRAVIATA;1
NADINE SIERRA;DIE ZAUBERFLTE (Il Flauto Magico);2
ITZIAR DE UNDA;DER SCHAUSPIELDIREKTOR;1
ROBERTO DE CANDIA;LELISIR DAMORE;1
GIAN MARCO AVELLINO;UN BALLO IN MASCHERA;1
JANE HENSCHEL;Gran Teatro del Liceu di Barcellona  Stagione Lirica 2008/09;1
ROSEMUNDE BRUNO LA ROTONDA;LES DIALOGUES DES CARMELITES;1
FRANCESCO PITTARI;SIMON BOCCANEGRA;1
ROSA FEOLA;FALSTAFF;2
MARZIA POSTOGNA;(Die lustige witwe) Operetta in tre atti di Viktor Lon e Leo Stein;1
CHRISTOPHER PURVES;PETER GRIMES;1
DARIA KOVALENKO;CARMEN;1
JEAN LUC BALLESTRA;WERTHER;1
ANNE SOPHIE DUPRELS;PELLAS ET MLISANDE;1
MARIA AGRESTA;OPENING GALA;1
LEONARDO CORTELLAZZI;LELISIR DAMORE;1
DSIRE RANCATORE;LELISIR DAMORE;1
EDOARDO MILLETTI;I DUE FOSCARI;1
GIOVANNI SEBASTIANO SALA;FALSTAFF;1
SVETLA VASSILEVA;EVGENIJ ONEGIN;1
ANOOSHAH GOLESORKHI;CAVALLERIA RUSTICANA;2
ROBERTA MAMELI;IL NOVELLO GIASONE;1
TATJANA FEDOTOVA;NOS (IL NASO);2
FRANCESCO VERNA;LA RONDINE;1
RODRIGO OCAMPO;THE FAIRY QUEEN;2
FRANCESCO CASTORO;MADAMA BUTTERFLY;1
MARCELLO ROSIELLO;PAGLIACCI;2
DARIO DI VIETRI;CARMEN;1
DANIEL BRENNA;ELEKTRA;1
DARIA MASIERO;LA BOHME;1
ANNE RODIER;IL TROVATORE;1
M ELENA GARCA;EL TRUST DE LOS TENORIOS;1
ANNA KASYAN;IL TROVATORE;2
SOFIO JANELIDZE;NAPOLI MILIONARIA;1
FRANCESCO VERNA;IL CAMPANELLO;2
LUCA TITTOTO;IL NOVELLO GIASONE;1
CARMINE MARINGOLA;CARMEN;3
JOHN DEL CARLO;DON PASQUALE Dramma buffo in tre atti su libretto di Michele Accursi (Giovanni Ruffini);1
LANA KOS;ROMO ET JULIETTE;1
BEN DAVIES;DIDO AND AENEAS;1
GRAZIELLA ORTU;TURANDOT;1
ROBERTO DE CANDIA;IL BARBIERE DI SIVIGLIA;3
CARMEN SOLS;TOSCA;1
FRANCESCO MELI;GALA VERDI;1
LORENZO REGAZZO;AGRIPPINA;1
ALESSANDRO SPINA;I CAPULETI E I MONTECCHI;2
STEPHEN RUGAMER;LULU;1
DAVIDE MURA;FEDORA;2
MARIA BILLERI;NABUCCO;1
SILVIA BELTRAMI;MADAMA BUTTERFLY;1
REN SCHIRRER;LE NOZZE DI FIGARO;1
KAMEN CHANEV;CAVALLERIA RUSTICANA;1
FEDERICA VAI;SOGNO DI UNA NOTTE DI MEZZA ESTATE;1
HEINZ ZEDNIK;Da UNA CASA DI MORTI  (Z mrtvho domu) 1Y0-259;1
RADU PINTILLIE;MACBETH;1
